date, pm25
2024/4/1, 119
2024/4/2, 119
2024/4/3, 58
2024/4/4, 104
2024/4/5, 69
2024/4/6, 106
2024/4/7, 99
2024/4/8, 105
2024/4/9, 105
2024/4/10, 100
2024/4/11, 121
2024/4/12, 113
2024/4/13, 109
2024/4/14, 113
2024/4/15, 111
2024/4/16, 50
2024/4/17, 64
2024/4/18, 97
2024/4/19, 95
2024/4/20, 60
2024/4/21, 78
2024/4/22, 71
2024/4/23, 85
2024/4/24, 73
2024/4/25, 134
2024/1/1, 131
2024/1/2, 121
2024/1/3, 130
2024/1/4, 153
2024/1/5, 145
2024/1/6, 153
2024/1/7, 148
2024/1/8, 158
2024/1/9, 166
2024/1/10, 170
2024/1/11, 153
2024/1/12, 125
2024/1/13, 145
2024/1/14, 118
2024/1/15, 117
2024/1/16, 155
2024/1/17, 152
2024/1/18, 133
2024/1/19, 138
2024/1/20, 129
2024/1/21, 143
2024/1/22, 160
2024/1/23, 163
2024/1/24, 165
2024/1/25, 158
2024/1/26, 102
2024/1/27, 142
2024/1/28, 160
2024/1/29, 166
2024/1/30, 115
2024/1/31, 125
2024/2/1, 138
2024/2/2, 130
2024/2/3, 128
2024/2/4, 144
2024/2/5, 141
2024/2/6, 101
2024/2/7, 124
2024/2/8, 125
2024/2/9, 111
2024/2/10, 131
2024/2/11, 149
2024/2/12, 126
2024/2/13, 108
2024/2/14, 89
2024/2/15, 81
2024/2/16, 125
2024/2/17, 123
2024/2/18, 122
2024/2/19, 146
2024/2/20, 156
2024/2/21, 133
2024/2/22, 129
2024/2/23, 115
2024/2/24, 103
2024/2/25, 110
2024/2/26, 108
2024/2/27, 104
2024/2/28, 145
2024/2/29, 132
2024/3/1, 116
2024/3/2, 109
2024/3/3, 118
2024/3/4, 127
2024/3/5, 123
2024/3/6, 72
2024/3/7, 107
2024/3/8, 96
2024/3/9, 108
2024/3/10, 118
2024/3/11, 119
2024/3/12, 117
2024/3/13, 121
2024/3/14, 99
2024/3/15, 111
2024/3/16, 120
2024/3/17, 119
2024/3/18, 121
2024/3/19, 112
2024/3/20, 89
2024/3/21, 98
2024/3/22, 115
2024/3/23, 115
2024/3/24, 127
2024/3/25, 108
2024/3/26, 99
2024/3/27, 127
2024/3/28, 136
2024/3/29, 134
2024/3/30, 116
2024/3/31, 75
2023/10/27, 72
2023/10/28, 96
2023/10/29, 90
2023/10/30, 74
2023/10/31, 69
2023/11/1, 82
2023/11/2, 59
2023/11/3, 72
2023/11/4, 79
2023/11/5, 78
2023/11/6, 88
2023/11/7, 80
2023/11/8, 89
2023/11/9, 78
2023/11/10, 85
2023/11/11, 86
2023/11/12, 68
