date, pm25
2024/3/7, 58
2024/3/8, 59
2023/10/1, 59
2023/10/2, 85
2023/10/3, 92
2023/10/4, 56
2023/10/5, 73
2023/10/6, 64
2023/10/7, 54
2023/10/8, 66
2023/10/9, 74
2023/10/10, 72
2023/10/11, 75
2023/10/12, 75
2023/10/13, 65
2023/10/14, 60
2023/10/15, 40
2023/10/16, 41
2023/10/17, 55
2023/10/18, 50
2023/10/19, 44
2023/10/20, 48
2023/10/21, 48
2023/10/22, 65
2023/10/23, 70
2023/10/24, 60
2023/10/25, 52
2023/10/26, 46
2023/10/27, 65
2023/10/28, 53
2023/10/29, 47
2023/10/30, 49
2023/10/31, 41
2023/11/1, 48
2023/11/2, 58
2023/11/3, 44
2023/11/4, 46
2023/11/5, 34
2023/11/6, 34
2023/11/7, 39
2023/11/8, 44
2023/11/9, 57
2023/11/10, 61
2023/11/11, 61
2023/11/12, 51
2023/11/13, 23
2023/11/14, 40
2023/11/15, 48
2023/11/16, 43
2023/11/17, 41
2023/11/18, 39
2023/11/19, 40
2023/11/20, 31
2023/11/21, 34
2023/11/22, 35
2023/11/23, 44
2023/11/24, 41
2023/11/25, 53
2023/7/1, 75
2023/7/2, 93
2023/7/3, 76
2023/7/4, 92
2023/7/5, 114
2023/7/6, 80
2023/8/4, 133
2023/8/5, 108
2023/8/6, 49
2023/8/7, 47
2023/8/8, 58
2023/8/9, 77
2023/8/10, 87
2023/8/11, 101
2023/8/12, 92
2023/8/13, 75
2023/8/14, 75
2023/8/15, 69
2023/8/16, 87
2023/8/17, 73
2023/8/18, 64
2023/8/19, 63
2023/8/20, 70
2023/8/21, 77
2023/8/22, 72
2023/8/23, 85
2023/8/24, 76
2023/8/25, 85
2023/8/26, 60
2023/8/27, 60
2023/8/28, 73
2023/8/29, 67
2023/8/30, 96
2023/8/31, 128
2023/9/1, 90
2023/9/2, 96
2023/9/3, 79
2023/9/4, 87
2023/9/5, 86
2023/9/6, 107
2023/9/7, 105
2023/9/8, 107
2023/9/9, 117
2023/9/10, 85
2023/9/11, 78
2023/9/12, 80
2023/9/13, 84
2023/9/14, 72
2023/9/15, 87
2023/9/16, 82
2023/9/17, 73
2023/9/18, 78
2023/9/19, 81
2023/9/20, 75
2023/9/21, 78
2023/9/22, 60
2023/9/23, 72
2023/9/24, 69
2023/9/25, 62
2023/9/26, 89
2023/9/27, 77
2023/9/28, 81
2023/9/29, 90
2023/9/30, 50
2023/6/6, 58
2023/6/7, 61
2023/6/8, 69
2023/6/9, 43
2023/6/10, 54
2023/6/11, 60
2023/6/12, 80
2023/6/13, 90
2023/6/14, 76
2023/6/15, 108
2023/6/16, 111
2023/6/17, 79
2023/6/18, 76
2023/6/19, 81
2023/6/20, 88
2023/6/21, 78
2023/6/22, 68
2023/6/23, 65
2023/6/24, 98
2023/6/25, 93
2023/6/26, 103
2023/6/27, 101
2023/6/28, 98
2023/6/29, 82
2023/6/30, 91
2023/1/2, 37
2023/1/3, 29
2023/1/4, 43
2023/1/5, 50
2023/1/6, 58
2023/1/7, 63
2023/1/8, 52
2023/1/9, 44
2023/1/10, 48
2023/1/11, 51
2023/1/12, 54
2023/1/13, 54
2023/1/14, 65
2023/1/15, 69
2023/1/16, 64
2023/1/17, 59
2023/1/18, 64
2023/1/19, 70
2023/1/20, 62
2023/1/21, 70
2023/1/22, 81
2023/1/23, 62
2023/1/24, 73
2023/1/25, 54
2023/1/26, 63
2023/1/27, 70
2023/1/28, 66
2023/1/29, 51
2023/1/30, 70
2023/1/31, 59
2023/2/1, 58
2023/2/2, 58
2023/2/3, 87
2023/2/4, 87
2023/2/5, 52
2023/2/6, 66
2023/2/7, 66
2023/2/8, 76
2023/2/9, 83
2023/2/10, 77
2023/2/11, 76
2023/2/12, 75
2023/2/13, 70
2023/2/14, 71
2023/2/15, 77
2023/2/16, 81
2023/2/17, 83
2023/2/18, 86
2023/2/19, 77
2023/2/20, 96
2023/2/21, 104
2022/10/1, 62
2022/10/2, 56
2022/10/3, 70
2022/10/4, 75
2022/10/5, 62
2022/10/6, 55
2022/10/7, 52
2022/10/8, 52
2022/10/9, 45
2022/10/10, 55
2022/10/11, 57
2022/10/12, 62
2022/10/13, 66
2022/10/14, 66
2022/10/15, 64
2022/10/16, 55
2022/10/17, 51
2022/10/18, 47
2022/10/19, 52
2022/10/20, 59
2022/10/21, 59
2022/10/22, 65
2022/10/23, 40
2022/10/24, 38
2022/10/25, 39
2022/10/26, 46
2022/10/27, 39
2022/10/28, 40
2022/10/29, 42
2022/10/30, 37
2022/10/31, 42
2022/11/1, 34
2022/11/2, 30
2022/11/3, 44
2022/11/4, 43
2022/11/5, 34
2022/11/6, 28
2022/11/7, 35
2022/11/8, 39
2022/11/9, 44
2022/11/10, 33
2022/11/11, 31
2022/11/12, 41
2022/11/13, 49
2022/11/14, 40
2022/11/15, 34
2022/11/16, 41
2022/11/17, 46
2022/11/18, 47
2022/11/19, 41
2022/11/20, 36
2022/11/21, 43
2022/11/22, 36
2022/11/23, 38
2022/11/24, 44
2022/11/25, 34
2022/11/26, 43
2022/11/27, 42
2022/11/28, 40
2022/11/29, 41
2022/11/30, 48
2022/12/1, 45
2022/12/2, 54
2022/12/3, 44
2022/12/4, 28
2022/12/5, 32
2022/12/6, 41
2022/12/7, 46
2022/12/8, 41
2022/12/9, 31
2022/12/10, 43
2022/12/11, 39
2022/12/12, 40
2022/12/13, 39
2022/12/14, 52
2022/12/15, 54
2022/12/16, 56
2022/12/17, 56
2022/12/18, 54
2022/12/19, 56
2022/12/20, 62
2022/12/21, 75
2022/12/22, 55
2022/12/23, 52
2022/12/24, 53
2022/12/25, 55
2022/12/26, 50
2022/12/27, 49
2022/12/28, 48
2022/12/29, 45
2022/12/30, 51
2022/12/31, 56
2023/1/1, 55
2022/7/1, 63
2022/7/2, 67
2022/7/3, 71
2022/7/4, 96
2022/7/5, 71
2022/7/6, 85
2022/7/7, 59
2022/7/8, 50
2022/7/13, 113
2022/7/14, 87
2022/7/15, 42
2022/7/16, 64
2022/7/17, 74
2022/7/18, 80
2022/7/19, 77
2022/7/20, 80
2022/7/21, 65
2022/7/22, 52
2022/7/23, 71
2022/7/24, 69
2022/7/25, 51
2022/7/26, 73
2022/7/27, 74
2022/7/28, 70
2022/7/29, 70
2022/7/30, 66
2022/7/31, 56
2022/8/1, 66
2022/8/2, 92
2022/8/3, 80
2022/8/18, 70
2022/8/19, 69
2022/8/20, 69
2022/8/21, 62
2022/8/22, 68
2022/8/23, 73
2022/8/24, 58
2022/8/25, 68
2022/8/26, 62
2022/8/27, 77
2022/8/28, 58
2022/8/29, 64
2022/8/30, 73
2022/8/31, 78
2022/9/1, 83
2022/9/2, 121
2022/9/3, 95
2022/9/4, 108
2022/9/5, 76
2022/9/6, 88
2022/9/7, 75
2022/9/8, 86
2022/9/9, 64
2022/9/12, 64
2022/9/13, 71
2022/9/14, 69
2022/9/15, 55
2022/9/16, 49
2022/9/17, 45
2022/9/18, 49
2022/9/19, 51
2022/9/20, 43
2022/9/21, 47
2022/9/22, 63
2022/9/23, 51
2022/9/24, 55
2022/9/25, 30
2022/9/26, 31
2022/9/27, 40
2022/9/28, 67
2022/9/29, 84
2022/9/30, 60
2022/4/1, 63
2022/4/2, 49
2022/4/3, 59
2022/4/4, 62
2022/4/5, 62
2022/4/6, 57
2022/4/7, 58
2022/4/8, 45
2022/4/9, 48
2022/4/10, 42
2022/4/11, 58
2022/4/12, 64
2022/4/13, 39
2022/4/14, 34
2022/4/15, 39
2022/4/16, 61
2022/4/17, 32
2022/4/18, 36
2022/4/19, 32
2022/4/20, 25
2022/4/21, 34
2022/4/22, 27
2022/4/23, 39
2022/4/24, 36
2022/4/25, 58
2022/4/26, 52
2022/4/27, 37
2022/4/28, 35
2022/4/29, 37
2022/4/30, 45
2022/5/1, 47
2022/5/2, 41
2022/5/3, 45
2022/5/4, 57
2022/5/5, 59
2022/5/6, 48
2022/5/7, 41
2022/5/8, 40
2022/5/9, 59
2022/5/10, 49
2022/5/11, 47
2022/5/12, 61
2022/5/13, 64
2022/5/14, 63
2022/5/15, 52
2022/5/16, 50
2022/5/17, 58
2022/5/18, 56
2022/5/19, 59
2022/5/20, 58
2022/5/21, 63
2022/5/22, 52
2022/5/23, 58
2022/5/24, 58
2022/5/25, 57
2022/5/26, 58
2022/5/31, 69
2022/6/1, 48
2022/6/2, 49
2022/6/3, 64
2022/6/4, 66
2022/6/5, 85
2022/6/6, 44
2022/6/7, 37
2022/6/8, 51
2022/6/9, 64
2022/6/10, 64
2022/6/11, 55
2022/6/12, 50
2022/6/13, 70
2022/6/14, 54
2022/6/15, 73
2022/6/16, 58
2022/6/17, 65
2022/6/18, 68
2022/6/19, 60
2022/6/20, 77
2022/6/21, 73
2022/6/22, 79
2022/6/23, 60
2022/6/24, 71
2022/6/25, 69
2022/6/26, 64
2022/6/27, 63
2022/6/28, 68
2022/6/29, 77
2022/6/30, 53
2022/1/3, 39
2022/1/4, 47
2022/1/5, 51
2022/1/6, 38
2022/1/7, 41
2022/1/8, 48
2022/1/9, 52
2022/1/10, 56
2022/1/11, 56
2022/1/12, 55
2022/1/13, 66
2022/1/14, 66
2022/1/15, 69
2022/1/16, 64
2022/1/17, 43
2022/1/18, 75
2022/1/19, 69
2022/1/20, 48
2022/1/21, 47
2022/1/22, 55
2022/1/23, 58
2022/1/24, 71
2022/1/25, 80
2022/1/26, 82
2022/1/27, 78
2022/1/28, 75
2022/1/29, 62
2022/1/30, 54
2022/1/31, 62
2022/2/1, 62
2022/2/2, 54
2022/2/3, 60
2022/2/4, 67
2022/2/5, 61
2022/2/6, 59
2022/2/7, 66
2022/2/8, 67
2022/2/9, 66
2022/2/10, 76
2022/2/11, 75
2022/2/12, 83
2022/2/13, 78
2022/2/14, 79
2022/2/15, 76
2022/2/16, 82
2022/2/17, 72
2022/2/18, 66
2022/2/19, 65
2022/2/20, 61
2022/2/21, 69
2022/2/22, 88
2022/2/23, 83
2022/2/24, 68
2022/2/25, 72
2022/2/26, 58
2022/2/27, 52
2022/2/28, 54
2022/3/1, 51
2022/3/2, 60
2022/3/3, 74
2022/3/4, 75
2022/3/5, 76
2022/3/6, 76
2022/3/7, 68
2022/3/8, 62
2022/3/9, 65
2022/3/10, 58
2022/3/11, 55
2022/3/12, 56
2022/3/13, 86
2022/3/14, 88
2022/3/15, 83
2022/3/16, 95
2022/3/17, 75
2022/3/18, 64
2022/3/19, 61
2022/3/20, 57
2022/3/21, 55
2022/3/22, 50
2022/3/23, 57
2022/3/24, 49
2022/3/25, 56
2022/3/26, 56
2022/3/27, 43
2022/3/28, 52
2022/3/29, 46
2022/3/30, 64
2022/3/31, 72
2021/12/28, 32
2021/12/29, 42
2021/12/30, 43
2021/12/31, 47
2022/1/1, 57
2022/1/2, 37
